short_name,long_name,overall,potential,value_eur,wage_eur,age,height_cm,weight_kg,club_name,club_position,club_jersey_number,nationality_name,preferred_foot,pace,shooting,passing,dribbling,defending,physic,skill_dribbling,skill_curve,skill_ball_control,movement_agility,movement_reactions,power_shot_power,power_jumping,player_face_url,club_logo_url
E. Hazard,Eden Hazard,88,90,40500000.0,210000.0,23,173,74,Chelsea,LM,10.0,Belgium,Right,90.0,82.0,84.0,91.0,32.0,64.0,92,82,89,92,85,79,59,https://cdn.sofifa.net/players/183/277/15_120.png,https://cdn.sofifa.net/teams/5/60.png
P. Lahm,Philipp Lahm,87,87,24500000.0,190000.0,30,170,66,FC Bayern München,RCM,21.0,Germany,Right,76.0,56.0,84.0,83.0,87.0,67.0,80,77,85,83,92,57,72,https://cdn.sofifa.net/players/121/939/15_120.png,https://cdn.sofifa.net/teams/21/60.png
Sergio Ramos,Sergio Ramos García,87,87,31500000.0,220000.0,28,183,75,Real Madrid CF,LCB,4.0,Spain,Right,79.0,61.0,71.0,66.0,87.0,82.0,52,73,83,84,82,71,91,https://cdn.sofifa.net/players/155/862/15_120.png,https://cdn.sofifa.net/teams/243/60.png
Thiago Silva,Thiago Emiliano da Silva,87,87,29000000.0,190000.0,29,183,79,Paris Saint-Germain,LCB,2.0,Brazil,Right,78.0,57.0,72.0,72.0,90.0,80.0,68,61,78,75,83,78,90,https://cdn.sofifa.net/players/164/240/15_120.png,https://cdn.sofifa.net/teams/73/60.png
David Silva,David Josué Jiménez Silva,87,87,36500000.0,220000.0,28,170,67,Manchester City,CAM,21.0,Spain,Left,76.0,77.0,86.0,89.0,33.0,57.0,87,83,91,93,85,76,66,https://cdn.sofifa.net/players/168/542/15_120.png,https://cdn.sofifa.net/teams/10/60.png
G. Bale,Gareth Frank Bale,87,91,39000000.0,200000.0,24,183,74,Real Madrid CF,RW,11.0,Wales,Left,94.0,83.0,83.0,84.0,63.0,81.0,87,87,85,77,84,87,67,https://cdn.sofifa.net/players/173/731/15_120.png,https://cdn.sofifa.net/teams/243/60.png
L. Modrić,Luka Modrić,87,87,36500000.0,220000.0,28,174,65,Real Madrid CF,RCM,19.0,Croatia,Right,76.0,74.0,85.0,89.0,71.0,70.0,86,82,92,93,88,72,67,https://cdn.sofifa.net/players/177/003/15_120.png,https://cdn.sofifa.net/teams/243/60.png
R. Lewandowski,Robert Lewandowski,87,89,44000000.0,210000.0,25,184,78,FC Bayern München,LS,9.0,Poland,Right,80.0,84.0,74.0,85.0,39.0,78.0,84,77,87,80,88,84,83,https://cdn.sofifa.net/players/188/545/15_120.png,https://cdn.sofifa.net/teams/21/60.png
Xavi,Xavier Hernández Creus,86,86,15500000.0,160000.0,34,170,68,FC Barcelona,SUB,6.0,Spain,Right,66.0,72.0,91.0,85.0,60.0,58.0,80,85,93,79,90,67,53,https://cdn.sofifa.net/players/010/535/15_120.png,https://cdn.sofifa.net/teams/241/60.png
Y. Touré,Gnégnéri Yaya Touré,86,86,28500000.0,190000.0,31,189,90,Manchester City,LDM,42.0,Côte d'Ivoire,Right,76.0,82.0,81.0,79.0,80.0,90.0,81,80,83,64,85,86,79,https://cdn.sofifa.net/players/020/289/15_120.png,https://cdn.sofifa.net/teams/10/60.png
W. Rooney,Wayne Mark Rooney,86,86,40000000.0,230000.0,28,176,83,Manchester United,LS,10.0,England,Right,76.0,87.0,80.0,83.0,44.0,87.0,83,84,85,77,84,91,80,https://cdn.sofifa.net/players/054/050/15_120.png,https://cdn.sofifa.net/teams/11/60.png
V. Kompany,Vincent Jean Mpoy Kompany,86,86,31500000.0,220000.0,28,192,85,Manchester City,RCB,4.0,Belgium,Right,73.0,56.0,69.0,67.0,87.0,81.0,64,61,74,63,84,76,73,https://cdn.sofifa.net/players/139/720/15_120.png,https://cdn.sofifa.net/teams/10/60.png
S. Agüero,Sergio Leonel Agüero del Castillo,86,87,45500000.0,230000.0,26,172,74,Manchester City,ST,16.0,Argentina,Right,88.0,86.0,77.0,88.0,28.0,66.0,89,82,88,86,86,85,76,https://cdn.sofifa.net/players/153/079/15_120.png,https://cdn.sofifa.net/teams/10/60.png
M. Özil,Mesut Özil,86,87,44000000.0,190000.0,25,183,76,Arsenal,LW,11.0,Germany,Left,74.0,74.0,86.0,87.0,27.0,58.0,87,84,91,84,87,70,53,https://cdn.sofifa.net/players/176/635/15_120.png,https://cdn.sofifa.net/teams/1/60.png
M. Hummels,Mats Hummels,86,88,35500000.0,200000.0,25,192,90,Borussia Dortmund,SUB,15.0,Germany,Right,66.0,59.0,75.0,71.0,88.0,78.0,68,62,77,64,85,71,70,https://cdn.sofifa.net/players/178/603/15_120.png,https://cdn.sofifa.net/teams/22/60.png
Á. Di María,Ángel Fabián Di María Hernández,86,88,45500000.0,230000.0,26,180,70,Manchester United,LCM,7.0,Argentina,Left,90.0,79.0,83.0,87.0,57.0,71.0,88,83,86,90,80,88,72,https://cdn.sofifa.net/players/183/898/15_120.png,https://cdn.sofifa.net/teams/11/60.png
M. Reus,Marco Reus,86,88,40000000.0,180000.0,25,181,73,Borussia Dortmund,SUB,11.0,Germany,Right,91.0,86.0,84.0,86.0,33.0,65.0,88,90,83,89,87,85,70,https://cdn.sofifa.net/players/188/350/15_120.png,https://cdn.sofifa.net/teams/22/60.png
T. Müller,Thomas Müller,86,88,39000000.0,200000.0,24,186,75,FC Bayern München,RS,25.0,Germany,Right,81.0,84.0,82.0,80.0,46.0,72.0,78,81,82,78,91,77,81,https://cdn.sofifa.net/players/189/596/15_120.png,https://cdn.sofifa.net/teams/21/60.png
Neymar,Neymar da Silva Santos Júnior,86,91,31000000.0,210000.0,22,175,64,FC Barcelona,LW,11.0,Brazil,Right,90.0,80.0,72.0,92.0,30.0,58.0,94,78,90,92,86,77,61,https://cdn.sofifa.net/players/190/871/15_120.png,https://cdn.sofifa.net/teams/241/60.png
T. Courtois,Thibaut Courtois,86,90,27000000.0,170000.0,22,199,88,Chelsea,GK,13.0,Belgium,Left,,,,,,,25,25,23,61,76,36,68,https://cdn.sofifa.net/players/192/119/15_120.png,https://cdn.sofifa.net/teams/5/60.png
J. Rodríguez,James David Rodríguez Rubio,86,92,35000000.0,190000.0,22,180,75,Real Madrid CF,CAM,10.0,Colombia,Left,79.0,80.0,84.0,85.0,40.0,72.0,86,85,85,84,85,79,55,https://cdn.sofifa.net/players/198/710/15_120.png,https://cdn.sofifa.net/teams/243/60.png
P. Čech,Petr Čech,85,85,18000000.0,170000.0,32,196,90,Chelsea,SUB,1.0,Czech Republic,Left,,,,,,,25,25,32,49,86,21,38,https://cdn.sofifa.net/players/048/940/15_120.png,https://cdn.sofifa.net/teams/5/60.png
C. Tévez,Carlos Alberto Tevez,85,85,21000000.0,160000.0,30,173,75,Juventus,RS,10.0,Argentina,Right,86.0,86.0,78.0,87.0,46.0,84.0,86,84,88,83,88,85,73,https://cdn.sofifa.net/players/143/001/15_120.png,https://cdn.sofifa.net/teams/45/60.png
K. Benzema,Karim Benzema,85,87,27000000.0,200000.0,26,184,79,Real Madrid CF,ST,9.0,France,Right,84.0,84.0,75.0,82.0,30.0,74.0,82,80,85,79,83,83,71,https://cdn.sofifa.net/players/165/153/15_120.png,https://cdn.sofifa.net/teams/243/60.png
H. Lloris,Hugo Lloris,85,86,21000000.0,160000.0,27,188,78,Tottenham Hotspur,GK,1.0,France,Left,,,,,,,25,25,34,55,84,23,74,https://cdn.sofifa.net/players/167/948/15_120.png,https://cdn.sofifa.net/teams/18/60.png
Javi Martinez,Javier Martínez Aginaga,85,86,21000000.0,160000.0,25,190,81,FC Bayern München,SUB,8.0,Spain,Right,53.0,61.0,72.0,68.0,84.0,85.0,65,61,74,59,85,75,70,https://cdn.sofifa.net/players/177/610/15_120.png,https://cdn.sofifa.net/teams/21/60.png
Juan Mata,Juan Manuel Mata García,85,86,27000000.0,190000.0,26,174,63,Manchester United,CAM,8.0,Spain,Left,74.0,75.0,84.0,87.0,31.0,60.0,85,82,88,90,87,74,72,https://cdn.sofifa.net/players/178/088/15_120.png,https://cdn.sofifa.net/teams/11/60.png
E. Cavani,Edinson Roberto Cavani Gómez,85,87,25500000.0,200000.0,27,184,71,Paris Saint-Germain,RW,9.0,Uruguay,Right,79.0,83.0,70.0,80.0,41.0,81.0,80,75,83,83,85,85,83,https://cdn.sofifa.net/players/179/813/15_120.png,https://cdn.sofifa.net/teams/73/60.png
Diego Costa,Diego da Silva Costa,85,87,26500000.0,170000.0,25,188,81,Chelsea,ST,19.0,Spain,Right,82.0,83.0,63.0,79.0,40.0,88.0,82,58,82,63,85,82,60,https://cdn.sofifa.net/players/179/844/15_120.png,https://cdn.sofifa.net/teams/5/60.png
A. Vidal,Arturo Erasmo Vidal Pardo,85,87,23000000.0,190000.0,27,180,75,Juventus,SUB,23.0,Chile,Right,78.0,78.0,80.0,81.0,81.0,83.0,80,76,84,79,84,77,81,https://cdn.sofifa.net/players/181/872/15_120.png,https://cdn.sofifa.net/teams/45/60.png
T. Kroos,Toni Kroos,85,88,23000000.0,170000.0,24,182,78,Real Madrid CF,LCM,8.0,Germany,Right,58.0,81.0,89.0,84.0,58.0,69.0,84,88,86,75,87,87,54,https://cdn.sofifa.net/players/182/521/15_120.png,https://cdn.sofifa.net/teams/243/60.png
J. Boateng,Jérôme Boateng,85,86,21000000.0,170000.0,25,192,90,FC Bayern München,CB,17.0,Germany,Right,77.0,50.0,66.0,69.0,83.0,82.0,67,56,76,64,79,78,78,https://cdn.sofifa.net/players/183/907/15_120.png,https://cdn.sofifa.net/teams/21/60.png
Sergio Busquets,Sergio Busquets i Burgos,85,89,20000000.0,170000.0,25,189,73,FC Barcelona,CDM,5.0,Spain,Right,56.0,59.0,78.0,75.0,81.0,81.0,74,66,83,57,84,61,66,https://cdn.sofifa.net/players/189/511/15_120.png,https://cdn.sofifa.net/teams/241/60.png
M. Götze,Mario Götze,85,91,21000000.0,150000.0,22,176,72,FC Bayern München,CM,19.0,Germany,Right,80.0,74.0,82.0,89.0,35.0,63.0,90,79,90,87,87,68,70,https://cdn.sofifa.net/players/192/318/15_120.png,https://cdn.sofifa.net/teams/21/60.png
Casillas,Iker Casillas Fernández,84,84,16500000.0,140000.0,33,185,84,Real Madrid CF,GK,1.0,Spain,Left,,,,,,,25,25,26,62,80,26,77,https://cdn.sofifa.net/players/005/479/15_120.png,https://cdn.sofifa.net/teams/243/60.png
A. Pirlo,Andrea Pirlo,84,84,6000000.0,140000.0,35,177,68,Juventus,SUB,21.0,Italy,Right,43.0,69.0,91.0,82.0,55.0,59.0,78,94,92,68,89,78,33,https://cdn.sofifa.net/players/007/763/15_120.png,https://cdn.sofifa.net/teams/45/60.png
Xabi Alonso,Xabier Alonso Olano,84,84,11500000.0,170000.0,32,183,77,FC Bayern München,LCM,3.0,Spain,Right,55.0,71.0,86.0,68.0,78.0,72.0,60,81,83,56,80,86,43,https://cdn.sofifa.net/players/045/197/15_120.png,https://cdn.sofifa.net/teams/21/60.png
D. De Rossi,Daniele De Rossi,84,84,14500000.0,130000.0,30,185,83,Roma,CDM,16.0,Italy,Right,68.0,71.0,79.0,75.0,82.0,84.0,73,67,81,69,82,81,78,https://cdn.sofifa.net/players/053/302/15_120.png,https://cdn.sofifa.net/teams/52/60.png
G. Chiellini,Giorgio Chiellini,84,84,17500000.0,150000.0,29,186,76,Juventus,SUB,3.0,Italy,Left,76.0,51.0,55.0,56.0,87.0,86.0,56,60,52,59,78,81,90,https://cdn.sofifa.net/players/138/956/15_120.png,https://cdn.sofifa.net/teams/45/60.png
W. Sneijder,Wesley Sneijder,84,84,21000000.0,160000.0,30,170,67,Galatasaray SK,CAM,10.0,Netherlands,Right,75.0,80.0,87.0,84.0,48.0,63.0,84,88,87,82,77,86,51,https://cdn.sofifa.net/players/139/869/15_120.png,https://cdn.sofifa.net/teams/325/60.png
A. Turan,Arda Turan,84,88,23000000.0,180000.0,27,177,76,Atlético de Madrid,LM,10.0,Turkey,Right,76.0,74.0,83.0,86.0,61.0,72.0,86,81,88,86,83,74,79,https://cdn.sofifa.net/players/143/745/15_120.png,https://cdn.sofifa.net/teams/240/60.png
Santi Cazorla,Santiago Cazorla González,84,84,20000000.0,150000.0,29,168,66,Arsenal,SUB,19.0,Spain,Right,73.0,78.0,85.0,87.0,31.0,61.0,87,86,86,86,85,78,71,https://cdn.sofifa.net/players/146/562/15_120.png,https://cdn.sofifa.net/teams/1/60.png
K. Huntelaar,Klaas-Jan Huntelaar,84,84,21000000.0,160000.0,30,186,83,FC Schalke 04,ST,25.0,Netherlands,Right,68.0,85.0,64.0,72.0,32.0,73.0,69,73,77,65,88,87,77,https://cdn.sofifa.net/players/148/803/15_120.png,https://cdn.sofifa.net/teams/34/60.png
Piqué,Gerard Piqué Bernabéu,84,89,20500000.0,190000.0,27,192,85,FC Barcelona,RCB,3.0,Spain,Right,66.0,54.0,69.0,60.0,86.0,76.0,50,43,76,57,81,53,74,https://cdn.sofifa.net/players/152/729/15_120.png,https://cdn.sofifa.net/teams/241/60.png
Cesc Fàbregas,Francesc Fàbregas i Soler,84,84,23000000.0,180000.0,27,179,85,Chelsea,RDM,4.0,Spain,Right,68.0,79.0,88.0,81.0,64.0,63.0,81,77,87,65,83,77,68,https://cdn.sofifa.net/players/162/895/15_120.png,https://cdn.sofifa.net/teams/5/60.png
S. Nasri,Samir Nasri,84,86,23000000.0,180000.0,27,175,75,Manchester City,SUB,8.0,France,Right,79.0,76.0,84.0,86.0,39.0,60.0,86,78,88,82,83,75,68,https://cdn.sofifa.net/players/165/239/15_120.png,https://cdn.sofifa.net/teams/10/60.png
G. Higuaín,Gonzalo Gerardo Higuaín,84,85,27000000.0,170000.0,26,184,82,Napoli,ST,9.0,Argentina,Right,81.0,84.0,68.0,80.0,30.0,71.0,81,72,83,72,82,83,73,https://cdn.sofifa.net/players/167/664/15_120.png,https://cdn.sofifa.net/teams/48/60.png
S. Sirigu,Salvatore Sirigu,84,85,21000000.0,180000.0,27,192,80,Paris Saint-Germain,GK,30.0,Italy,Right,,,,,,,25,25,25,52,78,42,67,https://cdn.sofifa.net/players/168/435/15_120.png,https://cdn.sofifa.net/teams/73/60.png
M. Benatia,Medhi Amine El Mouttaqi Benatia,84,86,20500000.0,170000.0,27,188,88,FC Bayern München,RCB,5.0,Morocco,Right,75.0,45.0,54.0,64.0,88.0,84.0,59,32,71,69,83,61,80,https://cdn.sofifa.net/players/177/509/15_120.png,https://cdn.sofifa.net/teams/21/60.png
S. Khedira,Sami Khedira,84,86,19500000.0,180000.0,27,189,85,Real Madrid CF,SUB,6.0,Germany,Right,56.0,69.0,74.0,65.0,83.0,86.0,60,67,77,52,83,82,62,https://cdn.sofifa.net/players/179/846/15_120.png,https://cdn.sofifa.net/teams/243/60.png
D. Godín,Diego Roberto Godín Leal,84,84,19000000.0,180000.0,28,186,78,Atlético de Madrid,LCB,2.0,Uruguay,Right,67.0,48.0,62.0,60.0,86.0,78.0,53,49,67,62,81,67,83,https://cdn.sofifa.net/players/182/493/15_120.png,https://cdn.sofifa.net/teams/240/60.png
A. Sánchez,Alexis Alejandro Sánchez Sánchez,84,88,26500000.0,170000.0,25,171,62,Arsenal,RW,17.0,Chile,Right,88.0,81.0,75.0,87.0,39.0,66.0,88,74,85,91,81,78,66,https://cdn.sofifa.net/players/184/941/15_120.png,https://cdn.sofifa.net/teams/1/60.png
Oscar,Oscar dos Santos Emboaba Júnior,84,87,21000000.0,150000.0,22,179,67,Chelsea,CAM,8.0,Brazil,Right,81.0,75.0,80.0,85.0,43.0,44.0,85,77,86,86,81,76,66,https://cdn.sofifa.net/players/188/152/15_120.png,https://cdn.sofifa.net/teams/5/60.png
R. Weidenfeller,Roman Weidenfeller,83,83,11500000.0,100000.0,33,188,85,Borussia Dortmund,GK,1.0,Germany,Left,,,,,,,25,25,25,39,85,44,73,https://cdn.sofifa.net/players/002/196/15_120.png,https://cdn.sofifa.net/teams/22/60.png
J. Terry,John Terry,83,83,7000000.0,100000.0,33,187,90,Chelsea,LCB,26.0,England,Right,41.0,47.0,56.0,52.0,84.0,80.0,45,44,61,44,82,61,75,https://cdn.sofifa.net/players/013/732/15_120.png,https://cdn.sofifa.net/teams/5/60.png
P. Mertesacker,Per Mertesacker,83,83,12500000.0,130000.0,29,198,90,Arsenal,RCB,4.0,Germany,Right,31.0,41.0,57.0,48.0,87.0,76.0,39,39,65,29,85,71,33,https://cdn.sofifa.net/players/053/612/15_120.png,https://cdn.sofifa.net/teams/1/60.png
J. Toulalan,Jérémy Toulalan,83,83,10500000.0,90000.0,30,183,77,AS Monaco,CDM,28.0,France,Right,53.0,50.0,77.0,71.0,79.0,82.0,69,53,79,55,82,78,69,https://cdn.sofifa.net/players/112/253/15_120.png,https://cdn.sofifa.net/teams/69/60.png
Pepe,Kléper Laveran de Lima Ferreira,83,83,10000000.0,130000.0,31,188,81,Real Madrid CF,RCB,3.0,Portugal,Right,73.0,51.0,58.0,59.0,84.0,83.0,58,44,57,67,73,63,78,https://cdn.sofifa.net/players/120/533/15_120.png,https://cdn.sofifa.net/teams/243/60.png
A. Barzagli,Andrea Barzagli,83,83,7000000.0,100000.0,33,186,79,Juventus,SUB,15.0,Italy,Right,75.0,36.0,58.0,59.0,86.0,79.0,52,50,66,59,80,51,84,https://cdn.sofifa.net/players/137/186/15_120.png,https://cdn.sofifa.net/teams/45/60.png
N. Vidić,Nemanja Vidić,83,83,9000000.0,130000.0,32,190,88,Inter,SUB,15.0,Serbia,Right,52.0,39.0,55.0,51.0,84.0,83.0,43,42,62,50,76,56,85,https://cdn.sofifa.net/players/140/601/15_120.png,https://cdn.sofifa.net/teams/44/60.png
J. Mascherano,Javier Alejandro Mascherano,83,83,11500000.0,130000.0,30,174,74,FC Barcelona,SUB,14.0,Argentina,Right,69.0,59.0,70.0,69.0,84.0,80.0,58,63,82,72,84,76,75,https://cdn.sofifa.net/players/142/754/15_120.png,https://cdn.sofifa.net/teams/241/60.png
Negredo,Álvaro Negredo Sánchez,83,83,17000000.0,140000.0,28,186,79,Valencia CF,SUB,7.0,Spain,Left,73.0,83.0,68.0,77.0,39.0,82.0,78,68,80,68,80,88,81,https://cdn.sofifa.net/players/146/439/15_120.png,https://cdn.sofifa.net/teams/461/60.png
Dani Alves,Daniel Alves da Silva,83,83,10000000.0,140000.0,31,173,64,FC Barcelona,RB,22.0,Brazil,Right,86.0,70.0,79.0,83.0,76.0,68.0,81,77,85,84,85,88,78,https://cdn.sofifa.net/players/146/530/15_120.png,https://cdn.sofifa.net/teams/241/60.png
Jesús Navas,Jesús Navas González,83,83,15500000.0,150000.0,28,170,60,Manchester City,RM,15.0,Spain,Right,91.0,71.0,78.0,84.0,29.0,53.0,83,80,83,91,82,78,70,https://cdn.sofifa.net/players/146/536/15_120.png,https://cdn.sofifa.net/teams/10/60.png
Diego López,Diego López Rodríguez,83,83,13000000.0,130000.0,32,196,87,AC Milan,GK,23.0,Spain,Right,,,,,,,25,25,23,48,76,27,68,https://cdn.sofifa.net/players/146/748/15_120.png,https://cdn.sofifa.net/teams/47/60.png
I. Akinfeev,Igor Akinfeev,83,83,15500000.0,150000.0,28,186,78,PFC CSKA Moscow,GK,35.0,Russia,Right,,,,,,,25,25,22,62,78,24,73,https://cdn.sofifa.net/players/148/119/15_120.png,https://cdn.sofifa.net/teams/315/60.png
J. Farfán,Jefferson Agustín Farfán Guadalupe,83,83,14500000.0,130000.0,29,178,84,FC Schalke 04,SUB,17.0,Peru,Right,87.0,77.0,80.0,84.0,37.0,76.0,86,82,83,77,82,81,65,https://cdn.sofifa.net/players/158/133/15_120.png,https://cdn.sofifa.net/teams/34/60.png
João Moutinho,João Filipe Iria Santos Moutinho,83,83,16500000.0,110000.0,27,171,61,AS Monaco,RCM,8.0,Portugal,Right,74.0,75.0,83.0,82.0,71.0,72.0,81,82,84,84,82,76,81,https://cdn.sofifa.net/players/162/347/15_120.png,https://cdn.sofifa.net/teams/69/60.png
S. Handanovič,Samir Handanovič,83,83,16000000.0,120000.0,29,193,89,Inter,GK,1.0,Slovenia,Right,,,,,,,25,25,32,49,84,36,83,https://cdn.sofifa.net/players/162/835/15_120.png,https://cdn.sofifa.net/teams/44/60.png
S. Ruffier,Stéphane Ruffier,83,84,15000000.0,130000.0,27,188,90,AS Saint-Étienne,GK,16.0,France,Right,,,,,,,25,25,26,54,75,21,72,https://cdn.sofifa.net/players/167/628/15_120.png,https://cdn.sofifa.net/teams/1819/60.png
Miranda,João Miranda de Souza Filho,83,83,12500000.0,130000.0,29,186,76,Atlético de Madrid,RCB,23.0,Brazil,Right,76.0,49.0,56.0,57.0,84.0,79.0,49,32,64,67,75,70,86,https://cdn.sofifa.net/players/168/609/15_120.png,https://cdn.sofifa.net/teams/240/60.png
I. Rakitić,Ivan Rakitić,83,84,19500000.0,160000.0,26,184,75,FC Barcelona,RCM,4.0,Croatia,Right,69.0,82.0,87.0,81.0,55.0,67.0,81,87,86,72,78,85,52,https://cdn.sofifa.net/players/168/651/15_120.png,https://cdn.sofifa.net/teams/241/60.png
E. Garay,Ezequiel Marcelo Garay,83,85,14500000.0,150000.0,27,188,80,Zenit St. Petersburg,LCB,24.0,Argentina,Right,52.0,57.0,68.0,64.0,86.0,78.0,62,55,73,57,77,76,71,https://cdn.sofifa.net/players/170/481/15_120.png,https://cdn.sofifa.net/teams/100769/60.png
B. Matuidi,Blaise Matuidi,83,85,14000000.0,150000.0,27,175,70,Paris Saint-Germain,LCM,14.0,France,Left,78.0,67.0,76.0,76.0,84.0,82.0,73,65,77,81,83,74,81,https://cdn.sofifa.net/players/170/890/15_120.png,https://cdn.sofifa.net/teams/73/60.png
D. Sturridge,Daniel Andre Sturridge,83,86,18500000.0,120000.0,24,183,76,Liverpool,SUB,15.0,England,Left,89.0,82.0,69.0,81.0,29.0,70.0,84,62,81,78,82,83,74,https://cdn.sofifa.net/players/171/833/15_120.png,https://cdn.sofifa.net/teams/9/60.png
C. Marchisio,Claudio Marchisio,83,83,15500000.0,150000.0,28,179,76,Juventus,CDM,8.0,Italy,Right,79.0,76.0,81.0,83.0,74.0,79.0,82,78,84,83,84,75,75,https://cdn.sofifa.net/players/173/210/15_120.png,https://cdn.sofifa.net/teams/45/60.png
A. Candreva,Antonio Candreva,83,84,18500000.0,130000.0,27,181,72,Lazio,RW,87.0,Italy,Right,85.0,79.0,82.0,84.0,57.0,74.0,85,79,85,78,79,90,57,https://cdn.sofifa.net/players/173/221/15_120.png,https://cdn.sofifa.net/teams/46/60.png
C. Bravo,Claudio Andrés Bravo Muñoz,83,83,14000000.0,120000.0,31,185,84,FC Barcelona,GK,13.0,Chile,Right,,,,,,,25,26,25,64,83,32,81,https://cdn.sofifa.net/players/174/543/15_120.png,https://cdn.sofifa.net/teams/241/60.png
M. Pjanić,Miralem Pjanić,83,86,16500000.0,110000.0,24,180,74,Roma,RCM,15.0,Bosnia and Herzegovina,Right,72.0,75.0,85.0,84.0,63.0,66.0,83,81,89,76,85,79,66,https://cdn.sofifa.net/players/180/206/15_120.png,https://cdn.sofifa.net/teams/52/60.png
E. Džeko,Edin Džeko,83,83,17000000.0,160000.0,28,193,84,Manchester City,SUB,10.0,Bosnia and Herzegovina,Right,71.0,84.0,68.0,78.0,36.0,71.0,82,70,82,58,81,88,62,https://cdn.sofifa.net/players/180/930/15_120.png,https://cdn.sofifa.net/teams/10/60.png
M. Mandžukić,Mario Mandžukić,83,83,17000000.0,160000.0,28,187,84,Atlético de Madrid,SUB,9.0,Croatia,Right,75.0,82.0,61.0,75.0,43.0,87.0,75,58,79,76,83,83,86,https://cdn.sofifa.net/players/181/783/15_120.png,https://cdn.sofifa.net/teams/240/60.png
A. Ramsey,Aaron Ramsey,83,86,15000000.0,130000.0,23,177,70,Arsenal,RCM,16.0,Wales,Right,71.0,78.0,79.0,80.0,70.0,77.0,81,64,82,74,81,81,63,https://cdn.sofifa.net/players/186/561/15_120.png,https://cdn.sofifa.net/teams/1/60.png
